UserID,Gender,Age,Zip-code_1,Zip-code_2,Zip-code_3,Zip-code_4,Zip-code_5,Zip-code_6,Zip-code_7,Zip-code_8,Zip-code_9,Occupation_0,Occupation_1,Occupation_2,Occupation_3,Occupation_4,Occupation_5,Occupation_6,Occupation_7,Occupation_8,Occupation_9,Occupation_10,Occupation_11,Occupation_12,Occupation_13,Occupation_14,Occupation_15,Occupation_16,Occupation_17,Occupation_18,Occupation_19,Occupation_20,Documentary,Sci-Fi,Musical,1950s,War,1980s,Western,Horror,1990s,2000s,1940s,Crime,Romance,Fantasy,1920s,Adventure,1960s,1910s,Action,1970s,Animation,Comedy,Thriller,Mystery,1930s,Children's,Film-Noir,Drama
1,0,0.017857142857142856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02080433363990068,0.11402789168215789,0.5277543051583448,0.1254322854819662,0.09198040983006342,0.3648978180488351,0.06151209111590747,0.17677569121360215,1.0,0.03420775909579022,0.1140324605833407,0.06841814119511384,0.18320308848591466,0.10262753718498457,0.0,0.17161297309877563,0.14823963884823266,0.024272428202089646,0.1824492493494672,0.07981933217075031,0.6451864553508847,0.5047588259324498,0.09160281673014747,0.07379219165375471,0.06841886583011783,0.7474375237830456,0.004701030298097242,0.8223360812629997
2,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02163852703096979,0.18502557067667572,0.05484758746545529,0.061673607070158426,0.17180620658776466,0.2599106162055714,0.035242318979759386,0.00881037124942189,0.9119111275478188,0.008810278775263526,0.017620678118109474,0.12775438301975192,0.2775362462427008,0.0,0.013489099417567386,0.2202680803006428,0.11453615436831799,0.002363429622496569,0.6079439835288046,0.08810512189263563,0.027613635728891982,0.27313099538578317,0.3304042983914889,0.022027178788025396,0.008810176530497284,0.05717872133265317,0.004404986710702015,1.0
3,1,0.44642857142857145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.11718270249508597,0.18518900760097282,0.01235309412698233,0.2050490805747406,0.04938836130818736,0.7037038869618389,0.24691550044584215,0.03704305888895545,0.740737873753077,6.149131597918232e-06,0.15465844587447067,0.507606943903263,0.14815364672575113,0.06173394634412589,0.023774977929798807,0.901228626120275,0.061734750829944916,0.0,0.8148091791497272,0.19753493430946828,0.08642758852691165,1.0,0.1481521510855412,6.774692604631356e-06,0.0763348012600345,0.08642758852691165,0.12599918896158302,0.271605297245595
4,1,0.8035714285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032973045550521156,0.12322788171473961,0.177580765442965,0.20126760262115112,0.02464565089920797,0.08625957622402461,0.024645807007455414,0.04312998534900463,0.06777550006989866,0.11062765963697724,0.14017941168973552,0.006161561065406097,0.01848425180356242,0.024645596391198565,0.04523087314632809,0.08625952386275296,0.07393687474678556,5.5128688012244705e-06,0.3512000990370001,0.09242126057991036,0.1907799241197664,1.0,0.04313006349858109,0.1664540776449656,1.5591100395202065e-07,0.0,0.10068118840049646,0.09858236113999372
5,1,0.44642857142857145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0364597638248748,0.07552272723756485,0.013021347986047276,0.013019932403927754,0.033854869481326606,0.02083283760897778,0.0026052993423557615,0.04166573594787741,1.0,0.023437389748095044,0.005208869640663804,0.11979256696575223,0.15885784541942533,0.0500751423082287,0.005015313545070459,0.04166624589605718,8.781475978338194e-07,0.0,0.1250023287657221,8.925163849339801e-07,0.02604104518739217,0.34635101342984365,0.18229420032782345,0.039063716365910925,0.00260445183165456,0.03906234687482101,0.018229211339333067,0.5624993150142924
6,0,0.8928571428571429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08007825614924216,0.029998384675509367,0.6100090336353908,0.3153027269244344,0.1300018683633364,0.41999231264125875,0.19000494470921406,0.08952033627723029,0.8100056907029545,0.250007531686501,0.009998503370423151,0.02000073968801859,1.0,0.019999556263021523,0.0,0.19999800147433897,0.27000562225811614,0.0019444882782863476,0.31000182951739486,0.1500038306084308,0.27000248684107253,0.8600050330900942,0.059998049489273626,0.17050806518355907,0.01000109950817008,0.44000420168554744,0.12702280050219,0.5800043877965517
7,1,0.625,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09485069290772491,0.33684154245626885,0.29844271083632257,0.30781021936965675,0.1473682597020505,0.06315762073478144,0.21099596301621787,0.03157903517415086,0.852632102490056,0.06315791713947348,0.2427246306944869,0.05263165018821006,0.08421087395232567,0.19057486954566755,0.054664680860815225,0.2947368658660815,0.39233547838119454,0.0,1.0,0.06315783903222277,0.232155297838362,0.09473693095168624,0.5578955310374997,0.021052741185709985,0.16640468216776244,0.37495941893938345,0.15280787242942434,0.2421049837026276
8,1,0.44642857142857145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.02445760903622288,0.11286124656725412,0.0026261864471698476,0.005250372866683994,0.07874070229866512,0.013125485168591388,0.002626518009677352,0.005251058961390785,1.0,0.002625835909699566,0.037734461569245314,0.09711321182340045,0.23622189327057874,0.038691560352752806,0.009262314681290589,0.06299243377155003,0.06972444129128834,0.0,0.28083532095106517,0.005250356221979802,0.028876190400949065,0.13123471551637947,0.2257218092414363,0.02099910954653918,0.022819613144498995,0.010501611487348043,0.03431371583302488,0.7926556651692449
9,1,0.44642857142857145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01673638476450854,0.1046023867352881,0.07576512088241188,0.08217592213131368,0.08786433204796706,0.046023513955999316,0.012552518871544134,0.0,1.0,0.12133657276732886,0.00836775686259514,0.17991523851067145,0.18828320533199094,0.004184297498796936,0.01339857709105387,0.06694564401405112,0.12475852141943294,0.004182223190965663,0.20501940827129403,0.008367768405692323,0.11296977313502664,0.30543804536657837,0.2928862342428804,0.008368172812131473,0.004183958635921083,0.06276110687974672,0.008368172812131473,0.6485327054591472
10,0,0.625,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076704634480227445,0.39360363563315276,0.21929322364116133,0.1550837620812975,0.11616322917816847,0.523185347668192,0.03690491775828317,0.0960731541129667,0.9368295965150133,0.024590521095520936,0.09118452755323656,0.06493273023945034,0.3928472648534299,0.21888748020050414,0.0036413802220448773,0.37878707422405183,0.1633120158650633,0.0,0.4101217266004348,0.21939400893982777,0.18917760556570593,1.0,0.1501611961091833,0.03374074499261802,0.04410758296837459,0.34610398574756734,0.014231901012564578,0.6445888596221837
